Post,NEG,NEU,POS,Compound,Sentiment
"MILTON MON OCT 7 | EVENING UPDATE
Milton is a powerful Cat 5 hurricane this evening. Though the storm does pose the most serious threat to the Tampa Bay area that we've seen in decades, the storm will not be its current self when it's approaching our coast. 
1.) The latest track from the NHC makes no adjustment in position but does continue to slow the system down with landfall now not expected until maybe 1 am Thursday morning. 
2.) Because Milton is stronger than forecast now, it's going to be stronger at landfall with a Cat 3 intensity expected.
3.) The intensity forecast however is tricky as Milton is still forecast to enter an area of strong wind shear (Strong upper level winds) as it approaches the west coast of Florida 12-18 hours prior to landfall. The storm may look very intense even 24 hours before landfall but should then quickly begin to weaken as it enters this wind shear. The current intensity forecast calls for weakening. The model forecast included with this post has the approximate time of landfall marked. This is only for the Mon Oct 7 pm advisory track. Notice all the models are in weakening mode at this time. Just how much of that will happen will just need to be seen.
4.) It's important to note that not everyone will see hurricane-force winds with this storm. Most of us will see winds of tropical storm strength. The strongest, maximum sustained winds, will only occur within 2-5 miles of the eye. The hurricane force winds will only extend around 45 miles from the eye. Those in the path of these winds will see destructive winds & widespread power outages. This will be in a small swath & most will not be in it. 
5.) The surge forecast has been updated & increased. It is the worst-case scenario & is the biggest threat from Milton because water is more powerful & will occur over a much wider area than the strongest winds. If you are in an evacuation zone & are asked to leave you absolutely need to leave. Please go. Do not stay. You do not need to leave the area. You may just need to travel a couple of miles to a safer location. Don't leave the state. 
6.) You do not need to evacuate for wind unless you live in a mobile or manufactured home. Otherwise, you can shelter in place. Very few, if anyone really, will see winds that are strong enough to cause serious structural damage. Our homes are built for this. 
7.) Check out the graphics for wind arrival times. Tropical storm winds arrive late Wednesday morning but the serious strong winds don't get here until after 4 pm on Wednesday. The strongest hurricane winds arrive late Wednesday evening & Thursday morning (before 3am). The storm will then weaken & winds will go down as it continues to cross the state. The winds will be over for most of us by midday Thursday. 
Tampa Bay, we got this! Focus, plan & act. We still have all day Tuesday to make necessary preps & even the first half of Wednesday, though wet, will not be horrible. We've done this before, we've been here before, & we will be here after the storm, stronger than ever. Protect your family & your property. You know what to do. We'll be fine. This is not our first hurricane. 
See you in the morning!",0.07,0.818,0.112,0.9851,POS
Monday evening Milton forecast & track discussion. One more day to prep. Milton is a serious threat but it's also one we can & know how to prepare for.,0.122,0.878,0.0,-0.3291,NEG
"9pm Milton Update: Pressure is down to 897 making Milton the 5th most intense hurricane ever to form in the Atlantic. The eye is only FOUR miles wide. Hurricane force winds only extend about 25 miles out. As we said yesterday, small storms can rapidly strengthen (and weaken) faster than larger storms. Let's hope when it hits shear in the Northern Gulf later tomorrow the weakening will begin. Updates 24/7.",0.058,0.831,0.11,0.4576,POS
Milton DOWN to 165. More than likely going thrown and ERC. (Eyewall Replacement Cycle). The inner eyewall collapses (and weakens the storm temporarily) while the new eyewall forms. It usually expands the wind field and makes the storm larger within 12 -24 hours. We will see. New track our shortly,0.085,0.888,0.026,-0.4767,NEG
"11pm Hurricane Milton Update: Winds DOWN to 165 mph. This is due to what we call an ERC or Eyewall Replacement Cycle. A second eyewall forms outside the 1st one and the inside eyewall dies. The process temporarily weakens the hurricane. Unfortunately, the key word is temporarily. It expands the wind field and usually regains its strength. Either way, the track is about the same although the NHC insists model trends to the South appear unreliable. We will see. Either way, a destructive hurricane is coming to the West coast of Florida late Wednesday. The ""cone of uncertainty"" is still located between Cedar Key and Ft Myers. Updates 24/7",0.095,0.865,0.039,-0.7579,NEG
Tue 5 AM advisory is in. Intensity is the same and the track is basically where it was before with maybe a tiny nudge south though I wouldn't read too much into it. Timing is also adjusted now indicating landfall early Thu morning.,0.0,1.0,0.0,0.0,NEU
"The Tue Oct 8 5 AM update is in. Here's what's new in less than 90 seconds. 
#tampa #HurricaneMilton #milton #tampabay #florida",0.0,1.0,0.0,0.0,NEU
"TUE OCT 8 AM MILTON UPDATE
Not many changes here. Here's what's new.
1.) Milton is going through an eyewall replacement cycle. The eyewall will rebuild today. This is a normal part of strong hurricanes & causes changes in intensity up or down.
2.) Milton has begun slowly moving north of east as forecast. Official movement is ENE as it makes a slow turn toward Florida. 
3.) NHC keeps the landfall intensity at Cat 3. There is a TON of uncertainty about this part of the storm at landfall. The NHC has admitted they are on the high-end of the intensity forecast. This is the right way to do it. Prepare for a stronger storm & get surprised by a weaker one. That keeps more people safe. Most models drop this to a strong Cat 2 or even a Cat 1 at landfall. It's definitely possible. 
4.) Landfall time keeps jumping around. Last night it was late Wed now it's early Thursday. Either way, it looks like the two hours around midnight Wed into Thursday is the best guess at the landfall time.
You have all day today to prepare. There will be some rain around this afternoon but nothing severe. There is still plenty of time to secure your property. For those in evacuation zones who were called to leave, you have the time to do it today. 
Even tomorrow won't be horrible. There will be more rain, & maybe some isolated tornadoes, but the hurricane winds & stronger rain bands likely won't begin to impact us until after 4pm on Wednesday.
We got this Tampa Bay! Focus, plan, act! We've gone through these before. Plan for tree damage & power outages that could last past the weekend for many. The recovery for some will take time, but we will recover. 
More updates throughout the day.",0.044,0.86,0.097,0.9298,POS
Milton continues to drift north of east as a strong Cat 4 hurricane. Indications are it is building a new eyewall. When this is done it could again gain strength.,0.0,0.708,0.292,0.872,POS
Milton continues to show fluctuations in intensity. Winds are at 145 mph with a pressure that's up a bit since the last update. No changes in track.,0.161,0.839,0.0,-0.5267,NEG
"By far, the biggest impact the most people will see from Milton is power outages. This will be a HUGE power disruption event and some may not have power for days following the storm.",0.068,0.849,0.083,0.1363,POS
"Winds are Milton are down, pressure is up.  What’s going on? Here’s a quick 90 second update.  
#HurricaneMilton #tampabay #milton #tampa #florida",0.099,0.901,0.0,-0.296,NEG
Is this you right now?,0.0,1.0,0.0,0.0,NEU
11am Update: Milton now at 150 mph winds. Intensity will continue to fluctuate through the day.,0.0,1.0,0.0,0.0,NEU
"Milton Midday Update | Tue Oct 8
11am track & advisory is in on Milton. There are more graphics here than words. Feel free to get into the images for some hour-by-hour info. Pay attention to the timestamp in the upper right of each map. 
1.) Milton is a little stronger this morning now that an eyewall replacement cycle has ended & new eyewall has formed. Though the winds are up to 150 mph the latest pressure from the aircraft is 930mb which is a little higher. Milton may be leveling off for a bit. The eye is 3x larger than the one we had yesterday, at 12 nautical miles. 
2.) Milton is slowly being pulled north as it heads east away from the Yucatan & toward the west coast of Florida. Today is your last full day to prepare for the storm. Take advantage of it by securing your property & protecting your family. 
3.) There is little change to the track & the spaghetti models have basically come into agreement with the NHC track. At this point, significant changes to the track are unlikely. Milton will make landfall on the west coast of Florida near Tampa Bay early Thursday morning. 
4.) The timing keeps getting adjusted. NHC now has landfall around 2am Thursday with a position near Davenport at 8am Thursday as still a Cat 2 hurricane. 
5.) The surge forecast hasn't changed & the latest track would point to the highest surges south of the Bay into Manatee & Sarasota county. Here, the surge from Milton may be DOUBLE what it was in Helene or more. Wobbles north or south would change this forecast & a wobble north into southern Pinellas county would push more water into the Bay. Surges over 10 ft. are possible from the south part of the Bay through the entire Manatee & Sarasota County coasts. You should not be in a flood zone during this storm. Please run from the water.  
6.) The NHC is a bit high on the intensity forecast at landfall with a wind speed of 125 mph though honestly not by a ton. I'd say the average model intensity at landfall now is around 115 mph which is still Cat 3. A strong Cat 2 with winds of 110 or 105 mph is possible too. There is little difference between 110 Cat 2 & 115 Cat 3 winds. 
Gusts at landfall & near the eye could exceed 100 mph. Watch the northern & NW part of the eyewall of this one. There may be strong winds in the northern half of the eyewall & this part of the storm could easily track over Pinellas & Hillsborough Counties. 
By far the biggest concern for those not in flood zones is power outages. Trees will be blown over, uprooted or snapped in half. They will fall on homes, cars, fences etc. This is where most of the damage will come from outside of the surge. This area of heavy tree damage will only happen in an area maybe 40-60 mi. wide. Right now the NHC things hurricane winds on landfall will only extend 35 mi from the storm. When it's over Polk County hurricane force winds will only extend 20 miles from the center. You really will have to be right next to the eye to see the strongest winds. Those outside of this area will only see tropical storm wind gusts.      
I would expect that tree damage in some areas will lead to outages that last more than a week. Roads will likely be impassible over a large area on Thursday. Make sure you have enough to live on for 5 days if riding it out at home. 
Charge your batteries, phones, and laptops. Remember some laptops can charge other devices via cables. After the power is out, you may find your home unusually quiet. Be sure to download your favorite playlists in your music app, or maybe some audio books. These can be streamed to a battery-operated Bluetooth speaker with the phone screen off, preserving a bit of battery while cutting into the silence. 
Focus, plan, act. We've done this before, we'll get it done again! The recovery may be slow at first but things can be cleaned up, homes rebuilt & power restored. So many storms have had us going through this drill before that I really do believe that we are ready for the real deal! All those dress rehearsals will make coming out of this one easier. 
Stay strong, Champa Bay!",0.014,0.925,0.061,0.9812,POS
"Milton’s intensity is up. Models really coming together on a track today. Here’s the latest in 90 seconds. 
#tampabay #tampa #florida #HurricaneMilton",0.0,1.0,0.0,0.0,NEU
"When it comes to surge in Tampa Bay, the exact location matters down to the mile. 
#HurricaneMilton #tampa #florida #tampabay #HurricaneMilton",0.0,0.948,0.052,0.0258,NEU
"Timing out the wind with Milton for Central Florida. If you’re not in a flood zone your biggest concern is wind. Tree damage & power outages will be widespread. 
#HurricaneMilton #tampabay #florida #tampa",0.096,0.904,0.0,-0.4939,NEG
"Track mostly steady.  Intensity still an issue. Here is the latest on Milton & some tips about how to be a bit more comfortable through the storm. Focus, plan, act. You got this! 
#Milton #HurricaneMilton #Tampa #TampaBay #Orlando #Florida",0.0,0.903,0.097,0.5974,POS
"2PM Update: Milton has strengthened to 155mph winds, still forecast to weaken prior to landfall.",0.151,0.699,0.151,0.0,NEU
Weather man boards up: It’s happening!,0.0,1.0,0.0,0.0,NEU
Whoa!,0.0,1.0,0.0,0.0,NEU
Milton's eyewall replacement is done. New eye is 12 nautical miles across. Winds back up to 155 mph.,0.0,1.0,0.0,0.0,NEU
"That top blue line is where the 11am NHC track was for Milton. Those other lines are the latest models, or ""trackers,"" as the NHC calls them. Is this a new trend?",0.0,0.943,0.057,0.2023,POS
"Milton's eyewall replacement cycle had it to a little upside down ""U"" movement in the Gulf. It's moving more east than north. This could have future track implications. Cone shift? #flwx #Milton #HurricaneMilton",0.0,1.0,0.0,0.0,NEU
"Was it a wobble? Or is Milton up to some tricks? 
#HurricaneMilton #Milton",0.145,0.855,0.0,-0.2168,NEG
"5pm Milton Update: As expected, because of today's ""wobble"" to the Southeast, the NHC has bumped the track of Milton a bit to the South. Unfortunately, Milton is now a Cat 5 hurricane again with winds of 165 mph. The storm is an extremely dangerous hurricane that will bring catastrophic surge to the West coast of Florida. Of course, this change increases the threat of higher surge to areas from Sarasota Southward. Updates and analysis 24/7.",0.152,0.848,0.0,-0.908,NEG
"Rainfall may be a big issue with Milton in a narrow band north of the eye. Indications are that the northern eyewall may produce HUGE amounts of rain. This could cause some serious flooding. NHC forecast shows a band of 8-12"" totals possible north of the eye with a narrow band of 12-16"" (red). This could be a very serious problem & stretch all across Florida as Milton moves NE",0.081,0.874,0.044,-0.1394,NEG
Here's the latest on Milton as of Tue Oct 8 at 7pm in a 90-second update.,0.0,1.0,0.0,0.0,NEU
"MILTON EVENING UPDATE TUE OCT 8 7PM
1.) Milton is back to Cat 5 with pressure that continues to fall in the eye. This has caused winds to increase to 165 mph. 
2.) Track is back to ENE but earlier today, while a new eyewall was forming, Milton took a jog, a wobble, to the east. This has shifted the track east too & thus a landfall a little farther south from the previous track. 
3.) Though this improved the surge prospects for Tampa Bay, potentially lowering the surge, it increase the threat for surge across Manatee & Sarasota Counties. The surge forecast has been increased in these areas to 8-12 ft. The surge forecast has been increased by 1ft for Ft. Myers too. 
4.) Timing with Milton hasn't changed much. A landfall of around 2 AM on Thursday still seems reasonable. Milton is still forecast to be weakening as it approaches the coast but a major hurricane is still likely. If Milton continues to maintain Cat 5 intensity it could still be a Cat 4 as it approaches the coast. Future fluctuations in strength are very important to this forecast. 
5.) Milton will become larger as it approaches the coast & weakens spreading its winds over a larger area. Even though the center is now forecast to move farther south, hurricane force winds are still likely to extend north toward Tampa & the I-4 corridor along with Pinellas County. These winds would then move ENE south of I-4 impacting Polk, Manatee, Sarasota, Hardee, DeSoto & Highlands counties.
There's still a lot to be determined with Milton but the track continues to narrow as the storm gets closer. The NHC will have another track update at 11pm tonight & one at 5am tomorrow. You'll see the 11pm post here. I won't do a long update here as I work at 3 am but expect another long update after the 5 am track is released tomorrow. 
Focus, plan, act. Have a good night.",0.043,0.857,0.1,0.9582,POS
"Milton has made some interesting moves today. There's been a small track change that may mean a big change for some. Here's the latest in a Tuesday evening, Oct 8, video discussion.",0.0,0.912,0.088,0.4019,POS
Was just about to fall asleep when…. Anyone else just get this?!,0.0,1.0,0.0,0.0,NEU
"11pm Hurricane Milton Update: Milton now has winds of 160 mph. It's still a powerful Category 5 hurricane. The updated track looks to be a bit South of the 5pm advisory, with projected landfall near Sarasota. The cone reaches from Pinellas County to Fort Myers. A track like this would increase surge levels across our Southern Counties and all the way down to Fort Myers. We'll continue to update overnight and 24/7.",0.0,0.879,0.121,0.7783,POS
It's not just phones you should be charging!,0.0,1.0,0.0,0.0,NEU
"This is serious. Rainfall north of the track of the eye could reach more than 12"". Flash flooding threat is HIGH.",0.197,0.756,0.046,-0.5574,NEG
"When you lose power & cell service the house is not only dark but also QUIET. You hear the wind, the debris outside. This can make kids & adults nervous. Here's a tip to help make that time a little easier",0.102,0.745,0.154,0.5123,POS
BREAKING | Milton is now forecast to make landfall as a Cat 4 storm. Track has been bumped a bit NORTH as global models continue to show landfall closer to the mouth of the Bay in Manatee County.,0.0,1.0,0.0,0.0,NEU
"NHC 5AM: ""It should be noted that this forecast is
based on the model fields, not the interpolated models which
appear to be too far south.  Users are urged not to focus on the
exact landfall point as the average error at 24 hours is about 40
miles.""",0.054,0.946,0.0,-0.4019,NEG
"NHC 5AM: Damaging winds,
life-threatening storm surge and heavy rainfall will extend well
outside the forecast cone",0.156,0.664,0.18,-0.128,NEG
Some important updates to Milton's landfall in the 5AM advisory. Here's all you need to know in 90 seconds.,0.0,0.909,0.091,0.2023,POS
Heads up! The heaviest rain and highest threat of flash flooding will likely happen 40-60 miles NORTH of the center. This is outside of the cone. The impacts from hurricanes extend well away from the center. Don't focus just on the cone or the point of landfall.,0.066,0.855,0.079,-0.2244,NEG
"Such a close call for the Bay! The 5AM forecast was nudged north by just a few miles and the SLOSH model forecast for surge in the Bay increased from 3ft. to over 6ft in some cases in eastern and southern Hillsborough County while the NW part of the Bay near Oldsmar may see nothing. 
Any more wobbles to the north will send these numbers WAY up. Any more wobbles to the south will send these numbers WAY down. 
All we can do is watch and track. It's still not too late to get out of the way if you are in an evacuation zone. Run from the water. Hide from the wind.",0.015,0.964,0.021,0.1759,POS
Seeing the landfall category change from Cat 3 to Cat 4 may be concerning. But here is why it's not as big of a deal as it may seem at first.,0.0,1.0,0.0,0.0,NEU
If you lose power in the Tampa Bay area you can listen to continuous storm coverage on these radio stations,0.124,0.876,0.0,-0.4019,NEG
The 8am update from the NHC shows winds down to 155mph in Milton and a higher pressure. Milton has lost its well-defined eye. This is either an eyewall replacement cycle or its beginning to feel the impacts of strong upper level winds to the north that will gradually weaken the storm as it approaches Florida today,0.119,0.828,0.054,-0.4588,NEG
The counties in red are now under a tornado watch until 9pm. Rain bands ahead of Milton today could produce isolated tornadoes and waterspouts.,0.095,0.905,0.0,-0.3182,NEG
A tornado watch has been issued for central & south Florida until 9pm. Brief tornadoes are common on the east side of landfalling tropical system.,0.0,1.0,0.0,0.0,NEU
Why the flood threat with Milton? Heavy rain from the storm extends almost 400 miles head of the storm. The rain will fall for hours even before the actual hurricane approaches with even more rain. Take the fresh water flood threat seriously north of the storm's track.,0.157,0.773,0.07,-0.6908,NEG
"There has been an update to the surge forecast. Here is what has changed. 
#Milton #HurricaneMilton #Florida #Tampa #Orlando #TampaBay",0.0,1.0,0.0,0.0,NEU
"The math to me does not make sense. The hurricane center has Milton making landfall at the Manatee or Sarasota county coast at 2AM. 
Currently, (10am) Milton is 175 mi. away moving NE at 16 mph. If this speed stays the same (it may actually increase), Milton is less than 11 hours from landfall.
I think the landfall may happen before midnight. That doesn't change the impacts, just moves up the timing of them.
I'll keep tracking it.",0.0,1.0,0.0,0.0,NEU
"Who’s done this for the storm? 
#Tampa #Milton #Orlando #HurricaneMilton #Florida #TampaBay",0.0,1.0,0.0,0.0,NEU
"11am Milton Update: Milton weakens and increases in forward speed. Landfall now expected to be earlier.
The NHC has finally caught on to what I was saying earlier...Milton is moving FASTER & landfall will be earlier. It's now moving forward at 17 mph. Landfall will be before 10pm. 
The timing doesn't change the impact. They did reduce forecast intensity to 125 mph (Cat 3) at landfall but that's just 5mph less than the previous advisory & not a significant change. But we'll take every mph reduction that we can! Let's hope it weakens even faster!",0.072,0.888,0.039,-0.3009,NEG
"Everything new in the 11am update in 1 min. 
#Florida #HurricaneMilton #Orlando #Milton #Tampa #TampaBay #sarasota",0.0,1.0,0.0,0.0,NEU
"Check out these images from FDOT cameras shared by Florida Department of Highway Safety and Motor Vehicles of tornadoes near I-75 in the Everglades caused by Milton. These will spread north & NW into our area today. A tornado watch is up until 9pm. 
Pics: Florida Department of Highway Safety and Motor Vehicles",0.0,0.857,0.143,0.7906,POS
Sunshine Skyway Bridge is now closed,0.0,0.61,0.39,0.4939,POS
"2 PM MILTON | The NHC has winds now at 130 mph. The eye is located 150 miles SW of Tampa and moving NNE at 16 mph. Surge forecasts have been updated. 9-13' Anna Maria to Boca Grande, 8-12' Anclote River to Anna Maria including Tampa Bay. Live updates on air all day.",0.0,1.0,0.0,0.0,NEU
Hurricane force winds will potentially extend as far north as southern Pinellas and the south half of Hillsborough Counties as Milton passes to the south.,0.0,0.934,0.066,0.1779,POS
"Hurricane Milton 3pm Update: Winds are now at 130 mph. Milton will be making landfall this evening. New track update at 5pm. At this point, there will be a wobble or two, but the track continues to show landfall as a Cat 3 hurricane along the Manatee or Sarasota county coastline",0.0,1.0,0.0,0.0,NEU
Flash flood warning up until 5:30 pm for Pinellas County. Heavy rain has been falling across the county all day. Flooding may already be occurring and with heavy rain continuing the flood threat will only increase.,0.177,0.767,0.055,-0.6249,NEG
Large flash flood warning has just been issued from Hillsborough through Polk down into Highlands counties. Heavy rain from hurricane Milton is likely to cause flash flooding this evening and overnight in this area,0.068,0.932,0.0,-0.34,NEG
Update on Hurricane Milton as it heads toward the west coast of Florida. Oct 9 3:30pm,0.0,1.0,0.0,0.0,NEU
Wow! This was from Milton.,0.0,0.494,0.506,0.6239,POS
"4 PM position is in. Winds at 125 mph. Milton is a Cat 3 hurricane moving NE at 17. Pressure in the eye continues to rise indicating Milton is weakening. The eye wall is open, also an indication of a weakening system. The storm is still likely to make landfall as a major hurricane.",0.129,0.871,0.0,-0.7003,NEG
I've been watching this track very carefully. Milton is supposed to turn more east but has yet to do so. On it's current trajectory it's headed more toward the mouth of Tampa Bay versus Sarasota. A closer landfall to the Bay would increase the water levels in the Bay. We need to watch this carefully. Every position fix from the NHC matters.,0.0,0.881,0.119,0.6894,POS
"Milton is NOT going to make a landfall in Sarasota County. Look at the current path & the forecast. Unless this storm is going to make a HARD right, a landfall is going to be farther north. My concern now shifts in Manatee & southern Pinellas. This is concerning for Bay surge levels as those high forecast numbers may come true",0.036,0.916,0.048,0.1697,POS
Milton is not turning right as the forecast indicates. It's still moving NE. This will make the landfall point farther north than the current forecast is indicating.,0.0,1.0,0.0,0.0,NEU
"5PM track update is in! The NHC sees the wobble, track has been adjusted NORTH. Now have it coming across NW Manatee and Southern Hillsborough. Winds down to 120 mph. Surge threat for the Bay has increased. Strong winds will be north of the track across Pinellas, Hillsborough and Pasco Counties.",0.06,0.841,0.1,0.3164,POS
Latest update shows hurricane force winds this evening across the majority of Pinellas and Hillsborough counties. This will move NE into Polk County too. Highest surge will be south of the track in Manatee and Sarasota counties with some water rise in the Bay.,0.0,1.0,0.0,0.0,NEU
"Surge forecast has been updated. 6-9 ft. in Tampa Bay based on the current track. 
#sarasota #Tampa #HurricaneMilton #Florida #Milton",0.0,1.0,0.0,0.0,NEU
The 5PM advisory is in & there are changes to the track which means changes in wind & surge forecast. Here's the latest in 90 seconds,0.0,1.0,0.0,0.0,NEU
"How is it where you are?
Be sure to tell me the town you're in!",0.0,0.844,0.156,0.3802,POS
"Radar estimates indicate that 3-7"" of rain has already fallen across the area with the heaviest amounts near the coast. Much more is still to come. Flash flooding threat is very high north of the track of Milton",0.141,0.859,0.0,-0.7096,NEG
"5PM conditions in downtown Tampa as Hurricane Milton moves in.
#HurricaneMilton #Tampa #Milton #Florida #sarasota #Orlando #TampaBay",0.0,1.0,0.0,0.0,NEU
6 PM MILTON UPDATE: Milton continues to moves closer to the coast. Still a major hurricane. Heavy rain and very strong winds are expected. We will keep you posted with more updates throughout!,0.0,0.885,0.115,0.5974,POS
6PM position is in the from NHC. Winds remain at 120mph. Milton is a category 3 hurricane. It's located about 50 mi. WSW of Sarasota.,0.0,1.0,0.0,0.0,NEU
Egmont Channel weather station (west of Skyway) reported wind gust to 77 mph,0.0,1.0,0.0,0.0,NEU
"Security camera footage shows heavy rain causing some flooding at a low area in Tampa near the Waters/Vets area. Check out the wind blowing the gate out! 
#TampaBay #Orlando #Milton #Florida #HurricaneMilton #sarasota #tampa",0.059,0.866,0.075,0.1511,POS
Conditions are rough at Clearwater Beach already & the eye of Hurricane Milton is still 70 miles to the south. Video taken 6pm Oct 9.,0.0,1.0,0.0,0.0,NEU
"MILTON | Here's a look at some of the highest wind gusts so far. The strongest winds will begin moving into Sarasota, Manatee, Hillsborough and Pinellas counties over the next 3 hours as the eye makes landfall.",0.0,0.913,0.087,0.4877,POS
"The strongest winds in Milton are on the NW eyewall. The radar is scanning high up in the clouds this far out so these winds are likely not the same at the surface. This area will move into Pinellas, Hillsborough and Manatee counties over the next several hours.",0.0,0.942,0.058,0.4404,POS
"If you just got this alert you’re going to be in the stronger part of the eyewall in Hurricane Milton. This is just for wind, not surge. 
#TampaBay #Milton #HurricaneMilton #sarasota #Orlando #Florida #tampa",0.0,0.863,0.137,0.6249,POS
Are you seeing flooding from the rain?,0.0,1.0,0.0,0.0,NEU
"AN EXTREME WIND WARNING is now in effect for Pinellas, Hillsborough & Manatee counties until 9:30 p.m. Winds in these areas around the eye could be over 100 mph as it moves onshore. This is an extremely dangerous situation. We're live on air nonstop with the latest.",0.129,0.871,0.0,-0.7598,NEG
"An extreme wind warning has been issued for Tampa Bay as the strongest part of Hurricane Milton, the NW eyewall are moving in.",0.091,0.798,0.11,0.128,POS
The Extreme Wind Warning issued for Tampa Bay is the first one ever issued for this area.,0.13,0.87,0.0,-0.34,NEG
MILTON | The 7 p.m. update from the NHC maintains winds at 120 mph as it's moving NE at 15 mph. Landfall expected through the next two hours. Strongest winds moving onshore now Sarasota county north to Pinellas.,0.0,0.923,0.077,0.4404,POS
"As the eye of Milton passes by, some will not see the strongest winds from the storm until they NW side of the eye wall gets to them on the back side of the eye. Power outages are very likely in areas that experience this part of the storm.",0.048,0.952,0.0,-0.3412,NEG
Don't focus on where the eye goes. Brooksville is 100 miles from the eye & just reported a gust to 69 mph,0.0,1.0,0.0,0.0,NEU
The official landfall is not where the eyewall comes on-shore. It's where the CENTER of the eye crosses land.,0.0,1.0,0.0,0.0,NEU
Sarasota Bradenton International Airport (SRQ) just reported a wind gust to 96 mph in the eyewall of Milton.,0.0,1.0,0.0,0.0,NEU
"Hurricane Milton Update: Hurricane Milton is about to make landfall as a Category 3 hurricane between Sarasota and Venice. For folks in the Bay Area, you are in the Northern eyewall. An Extreme Wind Warning remains in effect until 9:30. #FloridaStrong",0.059,0.941,0.0,-0.34,NEG
8PM position shows Milton is in the process of making landfall. The current location is 20 mi WSW of Sarasota. Winds are 120 mph and it's moving ENE at 15 mph,0.0,1.0,0.0,0.0,NEU
The lights in our studio are swaying.,0.0,1.0,0.0,0.0,NEU
NHC: EXTREMELY DANGEROUS CATEGORY 3 HURRICANE MILTON MAKES LANDFALL NEAR SIESTA KEY FLORIDA 8:30pm Oct 9,0.272,0.728,0.0,-0.7058,NEG
Current conditions outside of our studios as one of the stronger parts of Milton moves through Tampa.,0.0,0.86,0.14,0.3818,POS
"Strong winds continue to move through Tampa, Fla. as the strongest part of Milton moves into the area. Taken Wed Oct 9 at 8:30 pm",0.0,0.78,0.22,0.7351,POS
"We continue to see EXTREME winds in the Northern eyewall of Milton. Pinellas, Hillsborough and Manatee counties remain in an Extreme Wind Warning until 9:30.",0.091,0.909,0.0,-0.34,NEG
Milton has officially made landfall. Reverse surge happening in Tampa Bay & the Gulf coast.,0.0,1.0,0.0,0.0,NEU
"SAT OCT 5 | MORNING UPDATE
NHC continues to push the chance of development in the southern Gulf up. It's now up to 70% in the next 48 hours. A broad area of low pressure has already developed in this area & although it's not fully organized into a tropical system, NHC reports its already producing near Gale force winds. 
The first set of model spaghetti plots is very much similar to the main global models with & maybe, on average, a bit farther south. These will change a lot until the center becomes more well-defined. Multiple NOAA aircraft missions into the storm will likely help inject some higher-quality data. These missions are scheduled today so expect the forecasts to maybe do some re-adjusting as that comes in over the next 24 hours. 
Looking back to the models with Helene, it seemed like the EURO & GFS overall did better together than any of the spaghetti plots. The tropical models were all pointing to a track west of Tallahassee while the EURO & GFS were insistent on Taylor County. In the end, it was a Taylor County landfall so with this one I'm willing to believe the GFS & EURO more at this point. 
It's hard to believe the intensity forecasts as it is early but the range really hasn't changed much recently. We're still looking at anything from a strong tropical storm to a Cat 2 hurricane at this point. The point of landfall is crucial. North of the center is where the heaviest rains will fall with this one & we're likely to see a ""reverse surge."" South of the center there will be a surge with the on-shore winds & possibly less rain. 
The timing hasn't changed. This is a Wednesday storm. It moves in Wednesday morning on the west coast of Florida & exits into the Atlantic by Wednesday evening. The whole thing is done by late Wednesday night & Thursday the weather will be good. 
More updates to come!",0.014,0.938,0.049,0.906,POS
"TROPICS | The NHC now has development chances for our next system at 70% in the next 2 days. Expect a numbered or named system by Monday in the Gulf, with a possible track from the NHC late Sunday or early Monday. We'll keep you posted as the updates come in!",0.0,0.957,0.043,0.2714,POS
Tropical Depression 14 has developed in the SW Gulf of Mexico. The first track from the NHC brings it to Florida's West Coast Wednesday as a strong Category 2 hurricane. More information to come throughout the day.,0.092,0.825,0.082,-0.1027,NEG
"Folks, more Dee-tails on this later but I wanted to get this out early. TD 14 poses a significant threat to Florida Wednesday. The track here is very important in terms of impacts & the intensity forecast is always the trickiest but from what we're seeing here this would be a ""board up the house"" type of storm for whomever the eye comes close to.
The track is not definitely not set. This is a first draft. The cone over Florida is VERY wide indicating a lot of uncertainty. This is not as clear as what we had with Helene.
Remember, the cone represents the area where the eye goes 2/3 of the time. The impacts will extend far beyond the cone.
Please make sure you are frequently checking in on this storm & its progress. Watches and warnings will be needed for the Florida west coast by Monday morning though may be issues as early as Sunday.",0.109,0.797,0.095,-0.5382,NEG
Breaking. TD 14 is tropical storm Milton.,0.0,1.0,0.0,0.0,NEU
"Update: We now have Tropical Storm Milton with winds of 40 mph. Remember, the NHC tracks update every 6 hours. (5pm, 11pm, 5am and 11am)  One other important reminder. The cone you see is not manipulated or moved by the NHC based on expected track of the storm. It has NOTHING to do with the actual storm forecast. It is merely the average margin of error on a track by the NHC over the past 5 years. If the average error is 150 miles on Day 5 (It is), that's how far the cone extends from the forecast center of the storm. Most models are showing if there were to be a change in track, it would be South, not North. As always, we'll be updating 24/7.",0.042,0.915,0.043,-0.2302,NEG
"GFS vs EURO on Wed for #Milton. Slight timing & intensity difference but the position & track is almost identical. Reminiscent of #Helene, which these two models NAILED. #Milton poses a serious threat for the west coast of Florida. #flwx ABC Action News - WFTS - Tampa Bay",0.129,0.871,0.0,-0.7227,NEG
